iter	RMSE
0	9108.063858
1	7683.240645
2	6873.614602
3	6334.672017
4	5920.207576
5	5497.342753
6	5178.115099
7	4999.857484
8	4787.985034
9	4640.672516
10	4534.773615
11	4528.341679
12	4467.747225
13	4349.330388
14	4236.997646
15	4123.867368
16	4046.690363
17	3941.48687
18	3871.932857
19	3818.608998
20	3751.016716
21	3678.913015
22	3584.658713
23	3481.88704
24	3437.662689
25	3382.513212
26	3319.916954
27	3266.295363
28	3204.902546
29	3140.478648
30	3095.867053
31	3060.474174
32	3015.05817
33	2958.309303
34	2907.452992
35	2854.547209
36	2821.214765
37	2768.598282
38	2739.660351
39	2698.473145
40	2668.696973
41	2626.944343
42	2586.31834
43	2561.745404
44	2539.152758
45	2519.617531
46	2468.947658
47	2425.007106
48	2385.005599
49	2361.00334
50	2336.462535
51	2315.574577
52	2283.456493
53	2271.750032
54	2248.831165
55	2234.0282
56	2209.434522
57	2195.983915
58	2183.141417
59	2170.493394
60	2146.566835
61	2129.819023
62	2101.421785
63	2079.760365
64	2064.20503
65	2049.083447
66	2032.606651
67	2009.554208
68	2000.271055
69	1983.017672
70	1959.106853
71	1937.446747
72	1929.482715
73	1919.808801
74	1897.90749
75	1893.045567
76	1879.363997
77	1864.933574
78	1850.668759
79	1839.181037
80	1820.488372
81	1811.456488
82	1789.120296
83	1764.819788
84	1752.476406
85	1741.414117
86	1720.455877
87	1709.440391
88	1691.676748
89	1682.400351
90	1676.317602
91	1665.430964
92	1661.848949
93	1655.002677
94	1648.824221
95	1626.570982
96	1618.231486
97	1611.151236
98	1605.478098
99	1588.80307
