iter	Passed	Remaining
0	1381	136731
1	2682	131421
2	3911	126483
3	5234	125632
4	6431	122197
5	7654	119913
6	8681	115342
7	9771	112376
8	10759	108788
9	11992	107928
10	13113	106099
11	13116	96184
12	14156	94736
13	15328	94158
14	16420	93046
15	17499	91874
16	18600	90812
17	19786	90136
18	20978	89435
19	22153	88612
20	23436	88166
21	24534	86984
22	25727	86131
23	26899	85180
24	27933	83801
25	29114	82864
26	30322	81982
27	31418	80789
28	32525	79630
29	33626	78461
30	34707	77253
31	35772	76017
32	36841	74800
33	37867	73507
34	38927	72294
35	39953	71029
36	41019	69843
37	42026	68570
38	43124	67450
39	44136	66204
40	45165	64994
41	46192	63789
42	47228	62604
43	48300	61473
44	49317	60276
45	50375	59136
46	51404	57966
47	52464	56837
48	53580	55767
49	54593	54593
50	55653	53471
51	56749	52384
52	57873	51322
53	58973	50236
54	60016	49104
55	61055	47972
56	62131	46871
57	63179	45750
58	64304	44686
59	65400	43600
60	66514	42525
61	67573	41415
62	68610	40295
63	69646	39175
64	70748	38095
65	71807	36991
66	72885	35898
67	73942	34796
68	75010	33700
69	76067	32600
70	77142	31508
71	78150	30391
72	79247	29310
73	80267	28202
74	81379	27126
75	82398	26020
76	83448	24926
77	84476	23826
78	85599	22754
79	86633	21658
80	87722	20576
81	88742	19480
82	89825	18398
83	90848	17304
84	91928	16222
85	92963	15133
86	94042	14052
87	95062	12963
88	96144	11882
89	97151	10794
90	98198	9711
91	99262	8631
92	100352	7553
93	101437	6474
94	102508	5395
95	103554	4314
96	104601	3235
97	105614	2155
98	106701	1077
99	107705	0
